"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 29 01:32:00 UTC 2024","Sat Jun 29 01:32:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"skipped","Sat Jun 29 01:32:00 UTC 2024","Sat Jun 29 01:32:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/usr/bin/patroni]",""
"passed","Sat Jun 29 01:29:25 UTC 2024","Sat Jun 29 01:34:28 UTC 2024","302942","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"skipped","Sat Jun 29 01:36:40 UTC 2024","Sat Jun 29 01:36:40 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_async_replication_failover_in_secondary_cluster","Test that async replication fails back correctly."
"passed","Sat Jun 29 01:37:40 UTC 2024","Sat Jun 29 01:38:02 UTC 2024","21486","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"skipped","Sat Jun 29 01:32:00 UTC 2024","Sat Jun 29 01:32:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"skipped","Sat Jun 29 01:32:00 UTC 2024","Sat Jun 29 01:32:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Sat Jun 29 01:35:08 UTC 2024","Sat Jun 29 01:36:12 UTC 2024","63811","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"skipped","Sat Jun 29 01:36:40 UTC 2024","Sat Jun 29 01:36:40 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_switchover","Test switching over to the second cluster."
"skipped","Sat Jun 29 01:36:40 UTC 2024","Sat Jun 29 01:36:40 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_reestablish_relation","Test that the relation can be broken and re-established."
"passed","Sat Jun 29 02:11:50 UTC 2024","Sat Jun 29 02:14:14 UTC 2024","143712","tests.integration","test_charm","","","","test_storage_with_more_restrictive_permissions","Test that the charm can be deployed with a storage with more restrictive permissions."
"passed","Sat Jun 29 01:35:02 UTC 2024","Sat Jun 29 01:35:02 UTC 2024","24","tests.integration","test_charm","","","","test_labels_consistency_across_pods[2]",""
"passed","Sat Jun 29 01:40:35 UTC 2024","Sat Jun 29 01:47:18 UTC 2024","403299","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Sat Jun 29 01:35:02 UTC 2024","Sat Jun 29 01:35:02 UTC 2024","31","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Sat Jun 29 01:29:12 UTC 2024","Sat Jun 29 01:29:20 UTC 2024","7742","tests.integration","test_tls","","","","test_build_and_deploy","Build and deploy three units of PostgreSQL."
"skipped","Sat Jun 29 01:32:00 UTC 2024","Sat Jun 29 01:32:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"passed","Sat Jun 29 01:33:51 UTC 2024","Sat Jun 29 01:41:38 UTC 2024","466938","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"skipped","Sat Jun 29 01:36:40 UTC 2024","Sat Jun 29 01:36:40 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"passed","Sat Jun 29 01:31:07 UTC 2024","Sat Jun 29 01:35:52 UTC 2024","284709","tests.integration","test_trust","","","","test_trust_blocked_deployment","Trust existing blocked deployment.

    Assert on the application status recovering to active.
    "
"broken","Sat Jun 29 01:29:11 UTC 2024","Sat Jun 29 02:12:17 UTC 2024","2586533","tests.integration","test_backups","","","","test_backup_and_restore","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Sat Jun 29 01:29:34 UTC 2024","Sat Jun 29 01:29:37 UTC 2024","3175","tests.integration","test_trust","","","","test_model_connectivity","Tries to regain connectivity to model after microK8s restart."
"passed","Sat Jun 29 01:29:41 UTC 2024","Sat Jun 29 01:35:08 UTC 2024","326909","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Sat Jun 29 01:39:36 UTC 2024","Sat Jun 29 01:39:37 UTC 2024","764","tests.integration","test_password_rotation","","","","test_no_password_exposed_on_logs","Test that passwords don't get exposed on postgresql logs."
"passed","Sat Jun 29 01:59:35 UTC 2024","Sat Jun 29 02:05:40 UTC 2024","364507","tests.integration","test_charm","","","","test_redeploy_charm_same_model","Redeploy the charm in the same model to test that it works."
"passed","Sat Jun 29 01:35:02 UTC 2024","Sat Jun 29 01:35:02 UTC 2024","30","tests.integration","test_charm","","","","test_database_is_up[2]",""
"skipped","Sat Jun 29 01:30:05 UTC 2024","Sat Jun 29 01:30:05 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"passed","Sat Jun 29 01:43:24 UTC 2024","Sat Jun 29 01:43:54 UTC 2024","30134","tests.integration.new_relations","test_new_relations","","","","test_restablish_relation","Test that a previously broken relation would be functional if restored."
"passed","Sat Jun 29 01:35:42 UTC 2024","Sat Jun 29 01:35:44 UTC 2024","2047","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Sat Jun 29 01:35:02 UTC 2024","Sat Jun 29 01:35:02 UTC 2024","60","tests.integration","test_charm","","","","test_exporter_is_up[0]",""
"passed","Sat Jun 29 01:29:14 UTC 2024","Sat Jun 29 01:39:56 UTC 2024","641061","tests.integration","test_db_admin","","","","test_discourse_from_discourse_charmers",""
"passed","Sat Jun 29 01:34:46 UTC 2024","Sat Jun 29 01:42:37 UTC 2024","470293","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Sat Jun 29 01:29:20 UTC 2024","Sat Jun 29 01:44:33 UTC 2024","913114","tests.integration","test_tls","","","","test_mattermost_db","Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    "
"passed","Sat Jun 29 01:29:37 UTC 2024","Sat Jun 29 01:31:07 UTC 2024","89832","tests.integration","test_trust","","","","test_deploy_without_trust","Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    "
"passed","Sat Jun 29 01:43:54 UTC 2024","Sat Jun 29 01:44:46 UTC 2024","51651","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"passed","Sat Jun 29 01:29:51 UTC 2024","Sat Jun 29 01:35:33 UTC 2024","341978","tests.integration.new_relations","test_relations_coherence","","","","test_relations","Test that check relation data."
"passed","Sat Jun 29 01:36:41 UTC 2024","Sat Jun 29 01:43:57 UTC 2024","436273","tests.integration","test_charm","","","","test_cluster_is_stable_after_leader_deletion","Tests that the cluster maintains a primary after the primary is deleted."
