"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the user is removed when the relation is broken.","25374","test_relation_broken","tests.integration.new_relations","Mon Oct 21 01:45:01 UTC 2024","passed","Mon Oct 21 01:45:26 UTC 2024","","test_new_relations","",""
"Completely cut and restore network.","235094","test_network_cut","tests.integration.ha_tests","Mon Oct 21 01:56:31 UTC 2024","passed","Mon Oct 21 02:00:26 UTC 2024","","test_self_healing","",""
"","19","test_database_is_up[0]","tests.integration","Mon Oct 21 01:36:01 UTC 2024","passed","Mon Oct 21 01:36:01 UTC 2024","","test_charm","",""
"Test that passwords don't get exposed on postgresql logs.","862","test_no_password_exposed_on_logs","tests.integration","Mon Oct 21 01:41:38 UTC 2024","passed","Mon Oct 21 01:41:39 UTC 2024","","test_password_rotation","",""
"","561775","test_discourse_from_discourse_charmers","tests.integration","Mon Oct 21 01:30:56 UTC 2024","passed","Mon Oct 21 01:40:17 UTC 2024","","test_db_admin","",""
"","26585","test_application_removal","tests.integration","Mon Oct 21 01:57:55 UTC 2024","passed","Mon Oct 21 01:58:21 UTC 2024","","test_charm","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","369613","test_trust_blocked_deployment","tests.integration","Mon Oct 21 01:32:54 UTC 2024","passed","Mon Oct 21 01:39:04 UTC 2024","","test_trust","",""
"","0","test_upgrade","tests.integration.ha_tests","Mon Oct 21 01:37:26 UTC 2024","skipped","Mon Oct 21 01:37:26 UTC 2024","","test_upgrade_to_primary_label","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","137759","test_config_parameters","tests.integration","Mon Oct 21 01:31:10 UTC 2024","passed","Mon Oct 21 01:33:28 UTC 2024","","test_config","",""
"","","test_fail_and_rollback","tests.integration.ha_tests","","unknown","","","test_rollback_to_master_label","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Mon Oct 21 01:54:27 UTC 2024","skipped","Mon Oct 21 01:54:27 UTC 2024","","test_backups","",""
"","43","test_exporter_is_up[2]","tests.integration","Mon Oct 21 01:36:01 UTC 2024","passed","Mon Oct 21 01:36:01 UTC 2024","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","17182","test_pre_upgrade_check","tests.integration.ha_tests","Mon Oct 21 01:37:21 UTC 2024","passed","Mon Oct 21 01:37:38 UTC 2024","","test_upgrade","",""
